"AGE","RACE_WHITE","RACE_BLACK","RACE_HISP","NTV_ENG","NTV_SP","WELFKID_1","WELFKID_2","WELFKID_3","WELFKID_4","MARRIED_1","HASCHLD","HGC","HS_D","GED_D","VOC_D","OTH_DEG","ANY_ED1","YR_WORK1","CURRJOB","GOT_ANYW","PERS_INC","EVARRST1","GUILTY2","EVJAIL2","WELF_KID","cate","Y","treat","train"
21.013698630137,0,1,0,1,0,0,0,1,0,1,1,9,0,0,0,0,1,0,0,1,1,0,0,0,3,16.0521382715418,160.089406191816,1,1
24.6109589041096,1,0,0,1,0,0,1,0,0,1,0,12,1,0,0,0,0,1,0,0,1,0,0,0,2,10.9086065778236,214.170826561066,1,1
18.0109589041096,0,1,0,1,0,0,1,0,0,1,0,9,0,0,0,0,0,1,1,1,4,0,0,0,2,9.33275377037361,27.4900364704557,1,1
17.2767123287671,0,0,1,0,1,0,0,1,0,1,0,9,0,0,0,0,1,1,0,1,1,0,0,0,3,29.365329845425,279.519376147763,0,0
19.8739726027397,0,1,0,1,0,0,0,1,0,1,0,11,0,0,0,0,0,1,0,1,2,0,0,0,3,-6.92706746841659,259.351252985808,1,1
16.2246575342466,1,0,0,1,0,1,0,0,0,1,0,8,0,0,0,0,1,0,0,0,1,0,0,0,1,40.0667198381383,34.2098231632337,0,1
20.2712328767123,1,0,0,1,0,0,0,1,0,1,0,12,1,0,1,0,1,1,1,1,1,0,0,0,3,17.5603022974692,278.392577782406,0,1
19.9698630136986,0,1,0,1,0,0,1,0,0,1,0,9,0,0,0,0,1,1,0,1,1,0,0,0,2,-2.67380583725489,46.0076516872036,1,1
19.6904109589041,0,1,0,1,0,1,0,0,0,1,0,11,0,0,0,0,1,1,0,0,2,1,1,1,1,-13.4153738496208,393.945504899564,1,0
19.3013698630137,0,1,0,1,0,1,0,0,0,1,1,12,1,0,0,0,1,1,0,1,1,0,0,0,1,-18.7877023739898,152.966780715602,1,1
22.6520547945205,0,1,0,1,0,1,0,0,0,1,1,9,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.426909454055743,180.276291227439,1,1
17.3972602739726,0,0,1,1,0,1,0,0,0,1,0,9,0,0,0,0,1,1,0,1,1,0,0,0,1,26.7291665064928,12.9952899678518,1,1
21.8767123287671,0,1,0,1,0,0,0,1,0,1,0,12,1,0,0,0,0,1,1,1,2,0,0,0,3,21.9137261390976,82.6089479793996,1,1
18.358904109589,1,0,0,1,0,1,0,0,0,1,0,10,0,0,0,0,1,1,1,0,2,1,0,0,1,5.28256018000231,393.989632113394,1,1
21.6219178082192,1,0,0,1,0,1,0,0,0,1,0,11,0,0,0,0,0,1,1,1,4,0,0,0,1,5.57869776464845,563.205627478128,1,1
18.0109589041096,0,0,0,1,0,0,0,0,1,1,0,9,0,0,0,0,0,0,0,1,1,0,0,0,4,22.2139226241245,0,1,1
19.2082191780822,1,0,0,1,0,1,0,0,0,1,0,12,1,0,0,0,1,1,1,1,1,0,0,0,1,-9.40235911043213,277.544975937455,1,1
19.9671232876712,1,0,0,1,0,0,1,0,0,0,1,8,0,0,0,0,0,1,0,1,1,1,1,1,2,13.745654868635,0,0,1
